CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONFCP82500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x500L",EA,1,206700,206700,57800,57800,,,264500,
CONFCP104500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x500L",EA,1,331500,331500,70936,70936,,,402436,
CONFCP16700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x700L",EA,1,20000,20000,14450,14450,,,34450,
CONFCP22700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x700L",EA,1,24700,24700,19376,19376,,,44076,
CONFCP28700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x700L",EA,1,33540,33540,23645,23645,,,57185,
CONFCP36700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x700L",EA,1,47060,47060,28571,28571,,,75631,
CONFCP42700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x700L",EA,1,59280,59280,34154,34154,,,93434,
CONFCP54700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x700L",EA,1,79170,79170,44663,44663,,,123833,
CONFCP70700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x700L",EA,1,170300,170300,51232,51232,,,221532,
CONFCP82700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x700L",EA,1,215800,215800,57800,57800,,,273600,
CONFCP104700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x700L",EA,1,349700,349700,70936,70936,,,420636,
CONFCP161000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x1000L",EA,1,22140,22140,14450,14450,,,36590,
CONFCP221000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x1000L",EA,1,27220,27220,19376,19376,,,46596,
CONFCP281000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x1000L",EA,1,36770,36770,23645,23645,,,60415,
CONFCP361000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x1000L",EA,1,51350,51350,28571,28571,,,79921,
CONFCP421000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x1000L",EA,1,64350,64350,34154,34154,,,98504,
